product_type	title	description	link	image_link	id	label	price	size	availability	condition	brand	google_product_category	gender	age_group	mpn	color	item_group_id	adwords_labels	style_number	GTIN
A Perfect Circle > T-shirts	A Perfect Circle T-shirt Roots Tee	A Perfect Circle Roots T-shirt - This t-shirt from A Perfect Circle is one of the few left in production and really portrays the feel of the band.Printed on high quality heavyweight cotton your satisfaction is guaranteed and we're confident that you'll love this tee.	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E009%21FEA&color=BLACK&size=XTRA+LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_009!FEA.jpg	400119040568	Rock T-shirts	19.99	XTRA LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC147-XL	Black	PC147	TSHIRTS	P.00145.009	26529
A Perfect Circle > T-shirts	A Perfect Circle T-shirt Roots Tee	A Perfect Circle Roots T-shirt - This t-shirt from A Perfect Circle is one of the few left in production and really portrays the feel of the band.Printed on high quality heavyweight cotton your satisfaction is guaranteed and we're confident that you'll love this tee.	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E009%21FEA&color=BLACK&size=XX+LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_009!FEA.jpg	400119040575	Rock T-shirts	21.99	XX LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC147-2XL	Black	PC147	TSHIRTS	P.00145.009	26530
A Perfect Circle > T-shirts	A Perfect Circle T-shirts - 13th Clover	A Perfect Circle 13th Clover T-shirt - 	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E003%21FEA&color=BLACK&size=SMALL&	http://www.band-tees.com/istarimages/p/p-P_00145_003!FEA.jpg	400118799160	Rock T-shirts	19.99	SMALL	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC224-S	Black	PC224	TSHIRTS	P.00145.003	17015
A Perfect Circle > T-shirts	A Perfect Circle T-shirts - APC 13th Clover Tee	A Perfect Circle 13th Clover T-shirt - 	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E003%21FEA&color=BLACK&size=MEDIUM&	http://www.band-tees.com/istarimages/p/p-P_00145_003!FEA.jpg	400118799177	Rock T-shirts	19.99	MEDIUM	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC224-M	Black	PC224	TSHIRTS	P.00145.003	080119913200
A Perfect Circle > T-shirts	A Perfect Circle T-shirts - APC 13th Clover Tee	A Perfect Circle 13th Clover T-shirt - 	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E003%21FEA&color=BLACK&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_003!FEA.jpg	400118799184	Rock T-shirts	19.99	LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC224-L	Black	PC224	TSHIRTS	P.00145.003	17017
A Perfect Circle > T-shirts	A Perfect Circle T-shirts - APC 13th Clover Tee	A Perfect Circle 13th Clover T-shirt - 	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E003%21FEA&color=BLACK&size=XTRA+LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_003!FEA.jpg	400118799191	Rock T-shirts	19.99	XTRA LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC224-XL	Black	PC224	TSHIRTS	P.00145.003	17018
A Perfect Circle > T-shirts	A Perfect Circle T-shirts - APC 13th Clover Tee	A Perfect Circle 13th Clover T-shirt - 	http://www.band-tees.com/istar.asp?a=6&id=P%2E00145%2E003%21FEA&color=BLACK&size=XX+LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_003!FEA.jpg	400118799207	Rock T-shirts	21.99	XX LARGE	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	PC224-XXL	Black	PC224	TSHIRTS	P.00145.003	17019
A Perfect Circle > T-shirts > Slim Fit	A Perfect Circle T-shirts - APC eMotive Billboards Slimfit	APC eMotive Billboards Slimfit T-shirt - Fans of A Perfect Circle or Tool or Puscifer (Really any of Maynard's projects) will definitely want to add this official APC t-shirt to their wardrobe.It's made from 100% preshrunk cotton for a super soft great fitting t-shirt that you'll never want to take off.And hey why not buy two since you'll be wearing this tee all the time and don't want to be smelly right?!;)	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F020%21FEA&color=BLACK&size=SMALL&	http://www.band-tees.com/istarimages/p/p-P_00145_020!FEA.jpg	400119932719	Rock T-shirts	19.99	SMALL	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	P_00145_020-S	Black	PC155	TSHIRTS	P_00145_020	080119916287
A Perfect Circle > T-shirts > Slim Fit	A Perfect Circle T-shirts - APC eMotive Billboards Slimfit	APC eMotive Billboards Slimfit T-shirt - Fans of A Perfect Circle or Tool or Puscifer (Really any of Maynard's projects) will definitely want to add this official APC t-shirt to their wardrobe.It's made from 100% preshrunk cotton for a super soft great fitting t-shirt that you'll never want to take off.And hey why not buy two since you'll be wearing this tee all the time and don't want to be smelly right?!;)	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F020%21FEA&color=BLACK&size=MEDIUM&	http://www.band-tees.com/istarimages/p/p-P_00145_020!FEA.jpg	400119932726	Rock T-shirts	19.99	MEDIUM	in stock	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	P_00145_020-M	Black	PC155	TSHIRTS	P_00145_020	080119913873
A Perfect Circle > T-shirts > Slim Fit	A Perfect Circle T-shirts - APC eMotive Billboards Slimfit	APC eMotive Billboards Slimfit T-shirt - Fans of A Perfect Circle or Tool or Puscifer (Really any of Maynard's projects) will definitely want to add this official APC t-shirt to their wardrobe.It's made from 100% preshrunk cotton for a super soft great fitting t-shirt that you'll never want to take off.And hey why not buy two since you'll be wearing this tee all the time and don't want to be smelly right?!;)	http://www.band-tees.com/istar.asp?a=6&id=P%5F00145%5F020%21FEA&color=BLACK&size=LARGE&	http://www.band-tees.com/istarimages/p/p-P_00145_020!FEA.jpg	400119932733	Rock T-shirts	19.99	LARGE	available for order	New	A Perfect Circle	Apparel & Accessories > Clothing > Tops > T-shirts	unisex	adult	P_00145_020-L	Black	PC155	TSHIRTS	P_00145_020	
